track_id,track_name,artists,album_name,album_id
7x3lbhchD4MeSflqqMl5AN,Losers (Feat. Jelly Roll),"Post Malone, Jelly Roll",F-1 Trillion: Long Bed,4f2G7uAWqzpOPwEfCDV87A
65nOJMlffOn2mhgyCLl4eo,Guy For That (Feat. Luke Combs),"Post Malone, Luke Combs",F-1 Trillion: Long Bed,4f2G7uAWqzpOPwEfCDV87A
150w1WjVxUWycZqTflcDAe,Goes Without Saying (Feat. Brad Paisley),"Post Malone, Brad Paisley",F-1 Trillion: Long Bed,4f2G7uAWqzpOPwEfCDV87A
5JNdWvUQz88ReuMRhbt2a7,Pour Me A Drink (Feat. Blake Shelton),"Post Malone, Blake Shelton",F-1 Trillion: Long Bed,4f2G7uAWqzpOPwEfCDV87A
3nI1lZcOKxp4QHG6fCOW6g,Wrong Ones (Feat. Tim McGraw),"Post Malone, Tim McGraw",F-1 Trillion: Long Bed,4f2G7uAWqzpOPwEfCDV87A
1ocXnpsIglK8jBALPVoI1i,Mein Tou Dekhoonga,Strings,Mein Tou Dekhoonga,5GKs7zo9Xk9BW6IOAUftGt
2fduGITOCkcNrSFuLYNEZJ,Hai Koi Hum Jaisa,Strings,Hai Koi Hum Jaisa,5DdW8yvu7BIRi1a98xvpHI
60a0Rd6pjrkxjPbaKzXjfq,In the End,Linkin Park,Hybrid Theory (Bonus Edition),6hPkbAV3ZXpGZBGUvL6jVM
2nLtzopw4rPReszdYBJU6h,Numb,Linkin Park,Meteora,4Gfnly5CzMJQqkUFfoHaP3
2HHtWyy5CgaQbC7XSoOb0e,Eye of the Tiger,Survivor,Eye Of The Tiger,4PT9VulQaQP6XR1xBI2x1W
14p4jbULrRxZvnSt4NDSEs,Like a Prayer,Madonna,The Immaculate Collection,5MzwGwnO9gkh0z6Nl4FF8h
6Qyc6fS4DsZjB2mRW9DsQs,Iris,The Goo Goo Dolls,Dizzy up the Girl,4UMjBXcRqIgMZ1XumU2x5T
62bOmKYxYg7dhrC6gH9vFn,Bye Bye Bye,*NSYNC,No Strings Attached,20RMokVwJ2wjQ0s8FOdOFC
35o9a4iAfLl5jRmqMX9c1D,Shape of My Heart,Backstreet Boys,Black & Blue,41zXjyVr6dzmchWf8tv3UO
