track_id,track_name,artists,album_name,album_id
4xKLuSF9EgcCGscGmoVXhx,DESERVE YOU,The Kid LAROI,THE FIRST TIME,63IolVUykZCHMlu2zu9jHS
3qwfwRLci33jDtIQhArYAA,I THOUGHT THAT I NEEDED YOU,The Kid LAROI,THE FIRST TIME,63IolVUykZCHMlu2zu9jHS
5icZ87FcdUCMYAp9VXWdd9,SORRY,The Kid LAROI,THE FIRST TIME,63IolVUykZCHMlu2zu9jHS
3afkJSKX0EAMsJXTZnDXXJ,Strawberries & Cigarettes,Troye Sivan,Strawberries & Cigarettes,5L0bixsyXEkomsyucUySjy
2dPUug9YiNL4ypu8UF8SnD,Tose Naina,"Arijit Singh, Hanif Shaikh",Mickey Virus,4mL4WrvQas7fLVN5GuTVe1
5KoiXrc0UYpmpFXoBTHYrl,Drugs,12AM,Drugs,2Zzpus7WEYQUsoq7HFGC9C
2wgBBqtX5x2UfcJItChy3H,Wild Horse,Darci,Long Days Away EP,613TIKn6gw8IGd1CBQUTa9
0rKWJnmo6Q0ovoPOLoLm0t,TOO MUCH,"The Kid LAROI, Jung Kook, Central Cee",TOO MUCH,7gCggwpSuqUmVzWniLdpKR
7dJYggqjKo71KI9sLzqCs8,Agora Hills,Doja Cat,Scarlet,6DmPNcfpkXBVRJsEIJY9tl
0b6wdul3A5sQNpIOv03OxP,Ocean Drive,Duke Dumont,Ocean Drive,5APvbPGki6FOQO6rNEuXCv
1KMkcUvF7m3SDChDOa7i5L,WITHOUT YOU,The Kid LAROI,F*CK LOVE 3+: OVER YOU,576UTio7xgY7YUxrHMzxeI
7JLzv38qr5GxXYqQfuQJP9,Summertime Friends,The Chainsmokers,Summertime Friends,4Fskvi7B1rmq52xIx9zTsV
6a2WchbJtycKAcxX65XFEx,Kho Na Jaun,"Omkar Singh, Adil Ahmad, Aman Ahmad",Kho Na Jaun,5IIiZRMcbPXCLuw7sIdmux
4F7A0DXBrmUAkp32uenhZt,Party Monster,The Weeknd,Starboy,2ODvWsOgouMbaA5xf0RkJe
0VCaMojESxrxingY2tNS4Q,23,Chase Atlantic,Chase Atlantic,7C8uqokvE67UOlu1TiEYMd
0xtIp0lgccN85GfGOekS5L,Yes I'm Changing,Tame Impala,Currents,79dL7FLiJFOO0EoehUHQBv
2b2lL6iY3x1CSOv7QQbp8R,Tidal Wave,Chase Atlantic,Tidal Wave,6eVvaG53YFZnHA1PHJMmso
7dTd00X8Mc5iErfQQyBA6B,Riptide,The Chainsmokers,So Far So Good,4nZ4dv1XvDE25Lf2MFhOqA
73URX96PE74KPnE9ogX2ib,Uncomfortable,Chase Atlantic,Chase Atlantic,7C8uqokvE67UOlu1TiEYMd
2tB05aqWu7QvgTxHiusN6Q,Automatic,"Fly By Midnight, Jake Miller",Automatic,37mGS3XchpvWPKBl0VaMIn
3zSSCPpLZ5Oc8nelhhGjKz,Tu hai kahan,AUR,Tu hai kahan,73vfz6Szer7i3GFIesix6l
2lOY5Ah2pRRMdjA6yBRgwW,Summertime Friends,The Chainsmokers,Summertime Friends,06NJ4sxQJg1BiSGH9WkzRE
1Tf0qifzTHdDC9RnTW9Di3,Spaceman,Nick Jonas,Spaceman,3FTjOu2zQLWcl1NVos4eAq
33o0xXMPY41CWwDTnxyM5Z,2Drunk,Nick Jonas,Spaceman,3FTjOu2zQLWcl1NVos4eAq
41bqjWvbH0bkuaNqbHy54l,This Is Heaven,Nick Jonas,Spaceman,3FTjOu2zQLWcl1NVos4eAq
5FTRpan9Azg7ltP40NnZK4,If I Fall,Nick Jonas,Spaceman,3FTjOu2zQLWcl1NVos4eAq
0mL82sxCRjrs3br407IdJh,Is There Someone Else?,The Weeknd,Dawn FM,2nLOHgzXzwFEpl62zAgCEC
3azJifCSqg9fRij2yKIbWz,The Color Violet,Tory Lanez,Alone At Prom,5Gm2XKBgnlzd6qTi7LE1z2
1rWzYSHyZ5BiI4DnDRCwy7,Moonlight,Chase Atlantic,Paradise EP,7agIpPnZXBhJQcWHAvdQFx
6s86N7LVaJZuU4alwKp6XO,Are you happy?,shy martin,Sad Songs,71sb3x5BwKk87d7ZBOoSJY
0oaY19dUwZimIgzn3ZZLZO,2 Much,Justin Bieber,Justice,5dGWwsZ9iB2Xc3UKR0gif2
17H5BFEUB0tMcQfJEcDSwH,Ready Yet,Mokita,Ready Yet,3SW7Sl00QSXiv3bavW4kO8
5YSHygGN9D0mID1NsVd5my,Reminds Me Of You,"Juice WRLD, The Kid LAROI",Reminds Me Of You,16ilcI6xOgSh3Jd3bxF6MI
3GWaFFi6TlPcZLYmCCHZ9O,Teenage Dream,Stephen Dawes,Teenage Dream,1UH6aVsmnWRjsB5Tq0qUhF
2L9N0zZnd37dwF0clgxMGI,ceilings,Lizzy McAlpine,five seconds flat,68L5xVV9wydotfDXEik7eD
5q37UhJgXRZwIIkdUGTZFb,BOGUS,Don Toliver,Life of a DON,2WmJ5wp5wKBlIJE6FDAIBJ
1REh5aFdSnrw06A67wpGk3,Wishes,Carter Ryan,Wishes,79HpQh6NveiCHDJXYn164L
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,AM,78bpIziExqiI9qztvNFlQu
2u0CelO5c81XS7z3dGpHbS,The Beach,The Neighbourhood,Wiped Out!,18iFxjZugvKhuNNMbLjZJF
2K7xn816oNHJZ0aVqdQsha,Softcore,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,0ODLCdHBFVvKwJGeSfd1jy
1wtOxkiel43cVs0Yux5Q4h,Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",Midnights,151w1FgRZfnKZA9FEcg9Z3
5pY6MyfY63LJ74CiDbZnzw,Waves of Blue,Majid Jordan,Waves of Blue,4NQRZlgmo5Sz9pSNkTOiM0
3nfARfVxSqwFahp3yY53aD,Get Throwed,Don Toliver,Life of a DON,2WmJ5wp5wKBlIJE6FDAIBJ
09EVL34Hr8e1jzFF5Hjb0v,Why Can't You Wait,"The Chainsmokers, Bob Moses",So Far So Good,4nZ4dv1XvDE25Lf2MFhOqA
1nYzjrdVQ8RpF93M0jPFW7,Remember That Night?,Sara Kays,Remember That Night?,239r63fqY8PyWX9WcgwNzP
5hOo1sSvGujVZSNiUzi49i,the movies,Nightly,"night, love you.",58J1HN0dJl1pkTwu1YGJSq
1e5Zf1EU0TAitK207VOUY7,LIKE A ROCKSTAR,Chase Atlantic,DON'T TRY THIS,6yvyK1eFy7bUVN7EBWXWgg
4Ib87leNsjQB4Oitglp0sq,Catch Me,Dxvn.,Catch Me,2SRcHIpXvSEGS99Gd9ZYZ5
2zXRAZvUb2B5PzJGwCtFe0,Chasing Fire,Lauv,I met you when I was 18. (the playlist),7lqieLm717j9Z8JrG7POkS
12PHFzKIzHTZMFEZt6ljbp,Khayaal,Mitraz,Zehen,6V5jxNi2199mv78TkZMCox
